country,alum_survey,survey_year,consent,gep_id,school_graduation,year_program,same_residence,girl_age,n2_a1,n2_a2,n2_a3,n2_a4,n2_a5,n2_a6,n2_a7,n2_a8,n2_a9,n3_b1,n3_b2,n3_b3,n3_b4,n3_b5,n4_c1,n4_c2_a,n4_c2_b,n4_c2_c,n4_c2_d,n4_c2_e,n4_c2_f,n4_c2_g,n4_c2_h,n4_c2_i,n4_c2_j,n4_c2_k,n4_c3_a,n4_c3_b,n4_c3_c,n4_c3_d,n4_c3_e,n4_c3_f,n4_c3_g,n4_c3_h,n4_c3_i,n4_c3_j,n4_c3_k,n5_d1,n5_d2,n5_d3,n5_d4,n5_d5,n5_d6,n5_d7,n2_a4_KH,n2_a5_KH,n2_a4_NP,n2_a5_NP
India,0,2023,Yes,IN-GEP-15-0850,2022,7,Yes,19,Yes,Yes,,,University,Full time,0,0,,Never married,,,,,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,0,Yes,Yes,Very helpful,Yes,Not at all,,,,
India,0,2023,Yes,IN-GEP-20-1810,2022,2,Yes,20,Yes,Yes,,,University,Full time,Yes,Yes,0,Never married,,,,,0,No,No,No,No,No,Yes,No,No,No,No,No,,,,,,Yes,,,,,,0,0,0,Yes,Somewhat helpful,Yes,Not at all,,,,
India,0,2023,Yes,IN-GEP-20-2504,2022,3,Yes,19,Yes,Yes,,,University,0,0,0,,Never married,,,,,0,No,No,Yes,No,No,No,No,Yes,No,No,No,,,Yes,,,,,Partially,,,,0,0,Yes,Yes,Very helpful,Yes,Not at all,,,,
India,0,2023,Yes,IN-GEP-20-1259,2022,2,Yes,19,Yes,Yes,,,University,Full time,Yes,0,Yes,Never married,,,,,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,Yes,Yes,Yes,Very helpful,Yes,Not at all,,,,
India,0,2023,Yes,IN-GEP-15-0729,2020,7,Yes,19,0,Yes,,,University,Full time,0,0,,Never married,,,,,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,0,Yes,Yes,Very helpful,Yes,To a great extent,,,,
India,0,2023,Yes,IN-GEP-18-2488,2020,9,Yes,18,0,Yes,,,Post-Secondary -Technical/Vocational,0,Yes,0,Yes,Never married,,,,,0,No,No,Yes,No,No,No,Yes,No,No,No,No,,,Yes,,,,Yes,,,,,0,Yes,Yes,Yes,Very helpful,Yes,Not at all,,,,
India,0,2023,Yes,IN-GEP-20-1297,2021,2,Yes,19,Yes,Yes,,,University,Full time,0,0,,Never married,,,,,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,Yes,0,Yes,Very helpful,Yes,Not at all,,,,
India,0,2023,Yes,IN-GEP-16-2620,2020,7,Yes,19,Yes,0,Yes,Post-Secondary -Technical/Vocational,,,0,0,,Never married,,,,,0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,,,Partially,Partially,Yes,Yes,Partially,Partially,,,,0,Yes,Yes,Yes,Very helpful,Yes,Not at all,,,,
India,0,2023,Yes,IN-GEP-14-0488,2020,9,0,22,Yes,Yes,,,University,Full time,0,0,,Married,21,0,,,0,No,No,No,Yes,No,No,No,Yes,No,No,No,,,,Yes,,,,Yes,,,,Yes,Yes,Yes,Yes,Very helpful,Yes,To a great extent,,,,
India,0,2023,Yes,IN-GEP-11-0264,2018,7,Yes,24,0,0,,,,,0,0,,Married,21,Yes,1,23,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,Yes,Yes,Yes,Very helpful,Yes,Not at all,,,,
India,0,2023,Yes,IN-GEP-15-0885,2022,7,Yes,19,Yes,Yes,,,University,Full time,0,0,,Never married,,,,,0,No,No,No,No,No,Yes,No,Yes,No,No,No,,,,,,Partially,,Partially,,,,0,0,Yes,Yes,Very helpful,Yes,Not at all,,,,
India,0,2023,Yes,IN-GEP-15-0324,2020,9,Yes,18,0,0,,,,,Yes,0,0,Never married,,,,,0,No,No,Yes,Yes,No,No,No,Yes,No,No,No,,,Partially,Partially,,,,Partially,,,,0,Yes,Yes,Yes,Very helpful,Yes,Not at all,,,,
India,0,2023,Yes,IN-GEP-11-0334,2018,7,0,24,0,0,,,,,0,0,,Married,19,Yes,1,21,0,Yes,No,Yes,No,No,No,No,No,No,No,No,No,,No,,,,,,,,,0,Yes,Yes,Yes,Very helpful,Yes,Not at all,,,,
India,0,2023,Yes,IN-GEP-14-0700,2018,4,0,23,Yes,0,Yes,University,,,0,0,,Married,23,0,,,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,Yes,Yes,Yes,Very helpful,Yes,Not at all,,,,
India,0,2023,Yes,IN-GEP-21-0629,2021,1,Yes,20,Yes,Yes,,,University,Full time,0,0,,Never married,,,,,0,Yes,No,No,No,No,No,No,No,No,No,Yes,Partially,,,,,,,,,,Partially,0,Yes,Yes,Yes,Very helpful,Yes,Not at all,,,,
India,0,2023,Yes,IN-GEP-15-0631,2018,3,Yes,26,Yes,0,Yes,Other,,,0,0,,Married,21,Yes,2,23,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,Yes,Yes,Yes,Very helpful,Yes,Not at all,,,,
India,0,2023,Yes,IN-GEP-14-0683,2018,4,Yes,23,Yes,Yes,,,Medical Degree,0,0,0,,Never married,,,,,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,Yes,Yes,Yes,Very helpful,Yes,Not at all,,,,
India,0,2023,Yes,IN-GEP-14-0647,2022,8,Yes,20,0,0,,,,,0,0,,Married,19,0,,,0,No,No,No,Yes,No,No,No,No,No,No,No,,,,Yes,,,,,,,,0,Yes,Yes,Yes,Very helpful,Yes,Not at all,,,,
India,0,2023,Yes,IN-GEP-18-3595,2022,5,Yes,18,Yes,Yes,,,University,Full time,0,0,,Engaged to be married,,,,,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,Yes,Yes,Yes,Very helpful,Yes,Not at all,,,,
India,0,2023,Yes,IN-GEP-18-2433,2020,5,Yes,18,Yes,Yes,,,University,Full time,0,0,,Never married,,,,,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,0,0,Yes,Very helpful,Yes,Not at all,,,,
India,0,2023,Yes,IN-GEP-20-1300,2021,2,Yes,20,0,0,,,,,0,0,,Never married,,,,,0,No,No,Yes,Yes,No,No,No,No,No,No,Yes,,,No,No,,,,,,,No,0,0,Yes,Yes,Somewhat helpful,Yes,Not at all,,,,
India,0,2024,Yes,IN-GEP-16-2681,2023,8,Yes,19,Yes,Yes,,,University,Full time,0,0,,Never married,,,,,0,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,,,Yes,Partially,Yes,Yes,,,,,,0,Yes,Yes,Yes,Very helpful,Yes,To a great extent,,,,
India,0,2024,Yes,IN-GEP-16-2435,2023,8,Yes,20,Yes,Yes,,,University,Full time,Yes,0,0,Never married,,,,,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,Yes,Yes,Yes,Very helpful,Yes,To a great extent,,,,
India,0,2024,Yes,IN-GEP-16-0005,2023,7,Yes,18,Yes,Yes,,,Other,Full time,Yes,0,Yes,Never married,,,,,"No, never",,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Very helpful,Yes,To a great extent,,,,
India,0,2024,Yes,IN-GEP-16-0229,2023,7,Yes,21,Yes,Yes,,,University,Full time,Yes,0,0,Never married,,,,,0,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Partially,,Partially,Partially,,Partially,Yes,Partially,,,Partially,0,Yes,Yes,Yes,Very helpful,Yes,To a great extent,,,,
India,0,2024,Yes,IN-GEP-21-1896,2023,1,Yes,19,Yes,Yes,,,University,Full time,0,0,,Engaged to be married,,,,,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,0,Yes,Yes,Very helpful,Yes,To a great extent,,,,
India,0,2024,Yes,IN-GEP-16-0041,2023,7,Yes,19,Yes,Yes,,,Other,Full time,0,0,,Never married,,,,,"No, never",,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Very helpful,Yes,To a great extent,,,,
India,0,2024,Yes,IN-GEP-20-2512,2023,4,0,19,0,0,,,,,0,0,,Never married,,,,,0,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,,,No,Partially,,Yes,,Partially,,,,0,Yes,Yes,Yes,Somewhat helpful,Yes,To some extent,,,,
India,0,2024,Yes,IN-GEP-21-1109,2023,2,Yes,18,Yes,Yes,,,University,Full time,0,0,,Never married,,,,,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,Yes,0,Yes,Very helpful,Yes,To a great extent,,,,
India,0,2024,Yes,IN-GEP-20-1735,2023,4,Yes,19,0,0,,,,,0,0,,Never married,,,,,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,0,0,Yes,Somewhat helpful,No,To some extent,,,,
India,0,2024,Yes,IN-GEP-17-2756,2023,7,0,19,Yes,Yes,,,Post-Secondary -Technical/Vocational,Full time,0,0,,Married,14,0,,,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,Yes,Yes,Yes,Very helpful,No,To a great extent,,,,
India,0,2024,Yes,IN-GEP-16-1642,2023,7,Yes,19,Yes,Yes,,,University,Full time,0,0,,Never married,,,,,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,0,0,Yes,Somewhat helpful,Yes,To a great extent,,,,
India,0,2024,Yes,IN-GEP-19-2818,2023,5,Yes,18,Yes,Yes,,,University,Full time,0,0,,Never married,,,,,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,0,0,Yes,Somewhat helpful,Yes,To a great extent,,,,
India,0,2024,Yes,IN-GEP-16-0620,2023,7,0,20,0,0,,,,,Yes,0,Yes,Never married,,,,,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,0,Yes,Yes,Very helpful,No,To a great extent,,,,
India,0,2024,Yes,IN-GEP-18-3376,2023,5,Yes,20,Yes,Yes,,,University,Full time,0,0,,Never married,,,,,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,Yes,Yes,Yes,Very helpful,No,To some extent,,,,
India,0,2024,Yes,IN-GEP-19-0812,2023,4,Yes,19,Yes,Yes,,,University,0,0,0,,Never married,,,,,0,No,No,No,Yes,Yes,No,No,No,No,No,No,,,,Partially,Partially,,,,,,,0,0,0,0,,Yes,To some extent,,,,
India,0,2024,Yes,IN-GEP-15-1157,2023,9,Yes,19,Yes,Yes,,,Other,Full time,Yes,0,0,Never married,,,,,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,Yes,Yes,Yes,Very helpful,Yes,To a great extent,,,,
India,0,2024,Yes,IN-GEP-16-2443,2023,7,Yes,20,Yes,Yes,,,University,0,0,0,,Never married,,,,,0,No,No,No,Yes,Yes,No,No,No,No,No,No,,,,Partially,Partially,,,,,,,0,0,0,Yes,Very helpful,Yes,To a great extent,,,,
India,0,2024,Yes,IN-GEP-19-4138,2023,4,Yes,19,Yes,0,0,,,,0,Yes,0,Never married,,,,,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,Yes,Yes,Yes,Very helpful,Yes,To some extent,,,,
India,0,2024,Yes,IN-GEP-16-2558,2023,7,Yes,20,Yes,Yes,,,University,Full time,0,0,,Never married,,,,,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,0,0,Yes,Somewhat helpful,Yes,To a great extent,,,,
India,0,2024,Yes,IN-GEP-21-1171,2023,2,Yes,20,Yes,Yes,,,University,0,Yes,0,0,Never married,,,,,0,Yes,No,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,,Partially,Partially,No,,,,,,No,0,0,Yes,Yes,Very helpful,Yes,To a great extent,,,,
India,0,2024,Yes,IN-GEP-16-2001,2023,7,Yes,17,0,0,,,,,0,0,,Married,17,0,,,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,0,Yes,0,,Yes,To a great extent,,,,
India,0,2024,Yes,IN-GEP-16-1381,2023,8,0,19,0,0,,,,,0,0,,Married,18,0,,,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,No,To a great extent,,,,
India,0,2024,Yes,IN-GEP-21-1239,2023,2,Yes,19,Yes,Yes,,,University,Full time,0,0,,Never married,,,,,0,No,No,Yes,No,No,Yes,No,Yes,No,No,Yes,,,Partially,,,Partially,,Partially,,,Yes,0,Yes,Yes,Yes,Somewhat helpful,Yes,To a great extent,,,,
India,0,2024,Yes,IN-GEP-19-3606,2023,4,Yes,18,0,Yes,,,University,0,0,0,,Never married,,,,,0,Yes,No,No,Yes,No,Yes,No,No,No,No,No,Partially,,,Partially,,Partially,,,,,,0,Yes,0,Yes,Very helpful,Yes,To a great extent,,,,
India,0,2024,Yes,IN-GEP-21-0604,2023,2,Yes,19,Yes,Yes,,,Post-Secondary -Technical/Vocational,Full time,0,Yes,Yes,Never married,,,,,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,Yes,Yes,Yes,Somewhat helpful,No,To a great extent,,,,
India,0,2024,Yes,IN-GEP-16-1289,2023,7,Yes,18,Yes,Yes,,,University,Full time,0,0,,Never married,,,,,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,Yes,0,Yes,Somewhat helpful,Yes,To a great extent,,,,
India,0,2024,Yes,IN-GEP-19-3602,2023,4,Yes,18,Yes,Yes,,,University,Full time,0,0,,Never married,,,,,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,0,0,Yes,Very helpful,Yes,To a great extent,,,,
India,0,2024,Yes,IN-GEP-16-1359,2023,7,Yes,20,Yes,Yes,,,University,Full time,0,0,,Married,20,0,,,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,0,0,Yes,Very helpful,Yes,To a great extent,,,,
India,0,2024,Yes,IN-GEP-19-3991,2023,4,0,20,0,0,,,,,0,0,,Married,19,0,,,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,0,Yes,Yes,Very helpful,No,To a great extent,,,,
India,0,2024,Yes,IN-GEP-19-2697,2023,5,Yes,20,0,0,,,,,0,0,,Married,5,0,,,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,0,0,Yes,Very helpful,Yes,To a great extent,,,,
India,1 Year,2023,Yes,IN-GEP-11-0527,2018,12,Yes,22,Yes,Yes,,,University,0,0,0,,Never married,,,,,0,Yes,Yes,No,No,No,No,No,Yes,Yes,No,Yes,Partially,Yes,,,,,,Partially,Yes,,Partially,0,0,Yes,Yes,Somewhat helpful,No,To some extent,,,,
India,1 Year,2023,Yes,IN-GEP-11-0841,2018,7,Yes,22,Yes,0,Yes,Medical Degree,,,Yes,0,Yes,Married,12,0,,,0,No,No,Yes,No,No,No,No,No,No,No,Yes,,,Yes,,,,,,,,Yes,0,0,Yes,Yes,Very helpful,Yes,Not at all,,,,
India,1 Year,2023,Yes,IN-GEP-11-0850,2018,7,0,21,0,0,,,,,0,0,,Married,18,Yes,1,20,0,No,No,No,No,No,No,No,Yes,Yes,No,No,,,,,,,,Yes,Yes,,,0,Yes,Yes,Yes,Very helpful,Yes,Not at all,,,,
India,1 Year,2023,Yes,IN-GEP-11-0848,2018,7,Yes,23,0,0,,,,,0,0,,Married,19,Yes,1,22,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,0,0,Yes,Somewhat helpful,No,To some extent,,,,
India,1 Year,2023,Yes,IN-GEP-11-0010,2018,7,0,24,Yes,0,0,,,,0,0,,Married,19,Yes,3,20,"yes, all the time",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat helpful,Yes,To a great extent,,,,
India,1 Year,2023,Yes,IN-GEP-11-0616,2018,7,Yes,22,Yes,0,Yes,University,,,Yes,Yes,Yes,Never married,,,,,0,No,No,No,Yes,No,No,No,No,No,No,Yes,,,,Yes,,,,,,,Yes,0,Yes,Yes,0,,Yes,To a great extent,,,,
India,1 Year,2023,Yes,IN-GEP-15-0927,2022,7,Yes,18,0,0,,,,,0,Yes,Yes,Engaged to be married,,,,,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,Yes,Yes,Yes,Not at all helpful,Yes,To some extent,,,,
India,1 Year,2023,Yes,IN-GEP-12-0282,2012,5,0,24,Yes,0,Yes,University,,,0,0,,Married,21,Yes,2,22,0,No,No,No,No,No,Yes,No,Yes,No,No,No,,,,,,Partially,,Partially,,,,0,0,Yes,Yes,Somewhat helpful,No,To some extent,,,,
India,1 Year,2023,Yes,IN-GEP-11-0137,2018,7,Yes,23,Yes,Yes,,,University,Full time,0,0,,Never married,,,,,0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,Yes,Yes,Yes,Very helpful,Yes,To a great extent,,,,
India,1 Year,2023,Yes,IN-GEP-11-0026,2019,7,Yes,24,Yes,0,0,,,,0,0,,Married,22,Yes,1,23,0,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,Yes,Partially,Yes,0,Yes,Yes,Yes,Very helpful,Yes,To some extent,,,,
India,1 Year,2023,Yes,IN-GEP-11-0142,2018,7,0,22,Yes,0,Yes,Engineering Degree,,,Yes,0,0,Never married,,,,,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,0,0,Yes,Very helpful,Yes,To a great extent,,,,
India,1 Year,2023,Yes,IN-GEP-08-0281,2018,7,0,23,Yes,0,Yes,Post-Secondary -Technical/Vocational,,,0,0,,Married,19,Yes,1,23,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,0,0,Yes,Very helpful,No,Not at all,,,,
India,1 Year,2023,Yes,IN-GEP-11-0833,2018,7,Yes,22,Yes,Yes,,,Other,Full time,0,0,,Never married,,,,,0,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,0,Yes,Yes,Yes,Very helpful,Yes,To some extent,,,,
India,1 Year,2023,Yes,IN-GEP-11-0050,2018,7,Yes,22,Yes,0,0,,,,0,0,,Married,19,Yes,1,20,0,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Partially,Yes,0,0,Yes,Yes,Somewhat helpful,Yes,To some extent,,,,
India,1 Year,2023,Yes,IN-GEP-11-0411,2018,7,Yes,23,Yes,Yes,,,University,0,Yes,0,Yes,Never married,,,,,0,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Partially,,Partially,Partially,,,,,,,,Yes,Yes,Yes,Yes,Very helpful,Yes,To a great extent,,,,
India,1 Year,2023,Yes,IN-GEP-11-0518,2018,12,Yes,22,Yes,0,Yes,University,,,0,0,,Never married,,,,,0,No,No,No,Yes,Yes,Yes,No,No,No,No,No,,,,Partially,Partially,Partially,,,,,,0,Yes,Yes,Yes,Somewhat helpful,Yes,To some extent,,,,
India,1 Year,2023,Yes,IN-GEP-11-0786,2018,7,Yes,22,Yes,Yes,,,University,Full time,Yes,Yes,Yes,Married,21,0,,,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,0,Yes,Yes,Somewhat helpful,Yes,Not at all,,,,
India,1 Year,2023,Yes,IN-GEP-11-0432,2018,7,Yes,25,0,0,,,,,Yes,0,0,Never married,,,,,0,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Partially,,Partially,Partially,,,,,,,,0,Yes,Yes,Yes,Very helpful,Yes,To a great extent,,,,
India,1 Year,2023,Yes,IN-GEP-20-1804,2022,2,Yes,20,0,0,,,,,0,0,,Engaged to be married,,,,,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,0,0,Yes,Very helpful,Yes,Not at all,,,,
India,1 Year,2023,Yes,IN-GEP-11-0160,2018,7,Yes,22,0,0,,,,,0,0,,Married,20,Yes,2,21,"yes, all the time",Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,,,,Yes,,Yes,Yes,,,0,Yes,Yes,Yes,Somewhat helpful,Yes,To some extent,,,,
India,1 Year,2023,Yes,IN-GEP-11-0607,2018,7,0,23,Yes,0,Yes,Other,,,Yes,0,Yes,Never married,,,,,0,No,No,No,Yes,No,No,No,No,No,No,Yes,,,,Yes,,,,,,,Yes,0,Yes,Yes,0,,Yes,To a great extent,,,,
India,1 Year,2023,Yes,IN-GEP-11-0011,2018,7,0,21,Yes,0,0,,,,0,0,,Married,19,Yes,1,20,0,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Partially,,Yes,,,Yes,,Yes,Yes,Yes,Yes,Yes,Somewhat helpful,Yes,To some extent,,,,
India,1 Year,2023,Yes,IN-GEP-15-1387,2021,7,0,24,Yes,Yes,,,University,0,Yes,0,Yes,Never married,,,,,0,Yes,No,No,Yes,No,No,No,No,No,No,No,Partially,,,Partially,,,,,,,,0,Yes,Yes,Yes,Somewhat helpful,No,To a great extent,,,,
India,1 Year,2023,Yes,IN-GEP-12-0392,2016,6,Yes,22,0,0,,,,,Yes,0,Yes,Married,19,Yes,1,21,0,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,,,Yes,,,Partially,Partially,Partially,,Yes,,0,Yes,Yes,Yes,Very helpful,Yes,To a great extent,,,,
India,1 Year,2024,Yes,IN-GEP-16-2091,2023,7,Yes,18,0,Yes,,,University,Full time,0,0,,Never married,,,,,0,No,No,No,Yes,Yes,No,Yes,No,No,No,No,,,,No,Yes,,Yes,,,,,0,0,0,Yes,Very helpful,Yes,To a great extent,,,,
India,1 Year,2024,Yes,IN-GEP-16-2342,2021,5,Yes,19,Yes,Yes,,,University,Full time,0,0,,No response,,,,,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,0,Yes,Yes,Very helpful,Yes,To a great extent,,,,
India,1 Year,2024,Yes,IN-GEP-12-0880,2019,7,0,21,Yes,Yes,,,Other,0,0,0,,Married,21,0,,,0,No,No,No,Yes,No,No,Yes,No,No,No,No,,,,Yes,,,No,,,,,Yes,Yes,Yes,Yes,Somewhat helpful,Yes,To a great extent,,,,
India,1 Year,2024,Yes,IN-GEP-12-0827,2019,7,Yes,23,0,0,,,,,0,0,,Married,21,0,,,0,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Partially,,Yes,Yes,Partially,Partially,,Partially,,,,0,Yes,Yes,Yes,Somewhat helpful,Yes,To a great extent,,,,
India,1 Year,2024,Yes,IN-GEP-16-2278,2021,5,Yes,21,0,0,,,,,Yes,0,0,No response,,,,,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,0,Yes,Yes,Very helpful,Yes,To a great extent,,,,
India,1 Year,2024,Yes,IN-GEP-14-1064,2020,6,Yes,21,Yes,Yes,,,University,Full time,Yes,0,Yes,Never married,,,,,0,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,,,Partially,Partially,,Partially,,Partially,,Partially,Partially,Yes,Yes,Yes,Yes,Very helpful,Yes,To a great extent,,,,
India,1 Year,2024,Yes,IN-GEP-12-0359,2017,5,Yes,21,Yes,Yes,,,University,Full time,Yes,0,Yes,No response,,,,,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Partially,Partially,Partially,Partially,Partially,Partially,Partially,Partially,Partially,,,0,Yes,Yes,Yes,Somewhat helpful,Yes,To some extent,,,,
India,1 Year,2024,Yes,IN-GEP-17-2871,2019,2,0,24,Yes,Yes,,,Other,Full time,Yes,0,0,Never married,,,,,"No, never",,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Somewhat helpful,No,To a great extent,,,,
India,1 Year,2024,Yes,IN-GEP-16-2306,2021,5,Yes,18,Yes,Yes,,,University,Full time,Yes,0,Yes,No response,,,,,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,Yes,Yes,Yes,Very helpful,Yes,To a great extent,,,,
India,1 Year,2024,Yes,IN-GEP-12-0840,2019,7,Yes,24,Yes,Yes,,,University,Full time,0,0,,Never married,,,,,0,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,,,,,Partially,Partially,Partially,,Partially,,Yes,Yes,Yes,Yes,Very helpful,Yes,To a great extent,,,,
India,1 Year,2024,Yes,IN-GEP-11-0356,2019,7,Yes,24,0,0,,,,,Yes,Yes,0,Married,20,0,,,0,Yes,No,Yes,No,No,No,No,No,Yes,Yes,No,Partially,,Partially,,,,,,Partially,Partially,,0,0,Yes,Yes,Somewhat helpful,No,To some extent,,,,
India,1 Year,2024,Yes,IN-GEP-17-3079,2019,2,0,24,Yes,Yes,,,University,Full time,Yes,0,Yes,Married,18,Yes,1,20,"No, never",,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Somewhat helpful,Yes,To a great extent,,,,
India,1 Year,2024,Yes,IN-GEP-13-0447,2018,5,Yes,20,Yes,Yes,,,Other,0,Yes,0,Yes,Engaged to be married,,,,,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,Yes,Yes,Yes,Somewhat helpful,No,To some extent,,,,
India,1 Year,2024,Yes,IN-GEP-12-0449,2016,4,0,22,0,0,,,,,Yes,0,Yes,Engaged to be married,,,,,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,Yes,Yes,Yes,Very helpful,Yes,To a great extent,,,,
India,1 Year,2024,Yes,IN-GEP-12-0698,2019,7,Yes,24,Yes,0,Yes,University,,,Yes,Yes,0,Never married,,,,,0,Yes,No,No,No,No,Yes,No,Yes,No,No,Yes,Partially,,,,,Partially,,Partially,,,Partially,0,Yes,Yes,Yes,Very helpful,Yes,To a great extent,,,,
India,1 Year,2024,Yes,IN-GEP-12-0069,2019,7,Yes,23,Yes,Yes,,,University,Full time,Yes,0,Yes,Never married,,,,,0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,0,Yes,Yes,Yes,Somewhat helpful,Yes,To some extent,,,,
India,1 Year,2024,Yes,IN-GEP-12-0237,2019,7,0,24,Yes,0,0,,,,0,0,,Married,22,Yes,1,23,"yes, all the time",No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,,,Yes,,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Very helpful,No,To a great extent,,,,
India,1 Year,2024,Yes,IN-GEP-12-0202,2019,7,0,24,0,0,,,,,0,0,,Married,21,Yes,1,23,"yes, all the time",Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Very helpful,No,To a great extent,,,,
India,1 Year,2024,Yes,IN-GEP-11-0816,2019,7,Yes,24,Yes,0,Yes,University,,,0,0,,Engaged to be married,,,,,"No, never",,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,Yes,To some extent,,,,
India,1 Year,2024,Yes,IN-GEP-17-2900,2019,2,0,23,Yes,Yes,,,University,Full time,0,0,,Never married,,,,,0,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Partially,,,Yes,Yes,,Yes,Yes,,Yes,0,Yes,Yes,Yes,Very helpful,No,To a great extent,,,,
India,1 Year,2024,Yes,IN-GEP-17-2863,2019,3,0,23,Yes,Yes,,,Other,Full time,0,0,,Never married,,,,,0,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,0,Yes,Yes,Yes,Somewhat helpful,No,To a great extent,,,,
India,1 Year,2024,Yes,IN-GEP-12-0169,2019,2,0,24,0,0,,,,,Yes,Yes,Yes,Married,20,Yes,1,23,0,No,No,No,No,No,No,No,Yes,No,No,No,,,,,,,,Partially,,,,0,0,0,Yes,Not at all helpful,No,To a great extent,,,,
